1,日期,时间,股票代码,股票名称,买/卖,数量,成交价,总成本,交易佣金,
551,2020/1/22,9:30,002324.SZA,普利特,买入,3900,15.6,60840.002,18.25,
552,,15:00,300687.SZA,赛意信息,卖出,3600,20.79,-74844.002,97.3,15.95092025
553,2020/1/21,9:30,300687.SZA,赛意信息,买入,3600,17.93,64548.002,19.36,
554,,15:00,300280.SZA,紫天科技,卖出,3100,18.59,-57628.999,74.92,1.418439716
555,2020/1/20,9:30,300280.SZA,紫天科技,买入,3100,18.33,56823,17.05,
556,,15:00,603005.SHA,晶方科技,卖出,900,72.26,-65033.995,84.54,14.6984127
557,2020/1/17,9:30,603005.SHA,晶方科技,买入,900,63,56700,17.01,
558,,15:00,300718.SZA,长盛轴承,卖出,2200,25.19,-55418,72.04,1.736672052
559,2020/1/16,9:30,300718.SZA,长盛轴承,买入,2200,24.76,54472.005,16.34,
560,,15:00,002510.SZA,天汽模,卖出,9900,5.95,-58905.003,76.58,1.018675722
561,2020/1/15,9:30,002510.SZA,天汽模,买入,9900,5.89,58310.999,17.49,
562,,15:00,600070.SHA,浙江富润,卖出,4700,11.69,-54942.998,71.43,-4.337152209
563,2020/1/14,9:30,600070.SHA,浙江富润,买入,4700,12.22,57434.001,17.23,
564,,15:00,603005.SHA,晶方科技,卖出,1000,60.17,-60170.002,78.22,21.06639839
565,2020/1/13,9:30,603005.SHA,晶方科技,买入,1000,49.7,49700.001,14.91,
566,,15:00,603035.SHA,常熟汽饰,卖出,2900,17.2,-49880.002,64.84,7.031736154
567,2020/1/10,9:30,603035.SHA,常熟汽饰,买入,2900,16.07,46603.005,13.98,
568,,15:00,300343.SZA,联创股份,卖出,15600,3.59,-56003.999,72.81,4.970760234
569,2020/1/9,9:30,300343.SZA,联创股份,买入,15600,3.42,53351.998,16.01,
570,,15:00,000009.SZA,中国宝安,卖出,7000,7.02,-49140,63.88,-3.172413793
571,2020/1/8,9:30,000009.SZA,中国宝安,买入,7000,7.25,50750,15.23,
572,,15:00,300627.SZA,华测导航,卖出,2000,26.42,-52840,68.69,-0.714017287
573,2020/1/7,9:30,300627.SZA,华测导航,买入,2000,26.61,53220.001,15.97,
574,,15:00,002261.SZA,拓维信息,卖出,5400,9.15,-49410.003,64.23,5.658198614
575,2020/1/6,9:30,002261.SZA,拓维信息,买入,5400,8.66,46764.004,14.03,
576,,15:00,002103.SZA,广博股份,卖出,10000,5.2,-52000.003,67.6,1.960784314
577,2020/1/3,9:30,002103.SZA,广博股份,买入,10000,5.1,50999.999,15.3,
